,,,,,,,,,,,,
,PRECIFAST PVT LIMITED,,,,,,,,,,,
,TOOL SCHEDULE,,,,,,,,,,,
,TOOL LAY OUT NO,,TS-G006L401,,SIZE,,,,M5X0.8XL TORX SCREWS,,,
,DATE,,6/19/2025,,MACHINE,,,,64S,,,
,WIRE DIA,,Ø5.75,,,,,,,,,
,S.No.,Tool Code,Tool Description,NO OF TOOLS,REVISION ,,,,REMARKS,,,
,,,,,,,,,,,,
, CUT OFF  STATION,,,,1,2,3,4, M6 HHS/HHB,,,
,1,T.01.0.071.001,Feed Roll   ,2,-,-,-,-,,,,
,2,T.01.0.075.001,Quill ,1,-,-,-,-,,,,
,3,T.01.0.076.001,Cutter Holder,1,-,-,-,-,,,,
,4,T.01.0.073.001,Cutter  ,1,-,-,-,-,,,,
,5,T.01.0.078.002,Transfer Finger (R.H.) S,2,-,-,-,-,,,,
,6,T.01.1.077.002,Transfer Finger (L.H.) S,2,-,-,-,-,,,,
,7,T.01.1.078.005,Transfer Finger (R.H.) M,2,-,-,-,-,,,,
,8,T.01.1.077.005,Transfer Finger (L.H.) M,2,-,-,-,-,,,,
, 1ST STATION,,,,,,,,,,,
,1,T.01.0.001.002,Punch case ,1,-,-,-,-,M6 HHS/HHB,,,
,2,T.01.0.021.023,Punch Insert,1,-,-,-,-,N,,,
,3,T.01.0.051.005,Front Ext Die (30),1,-,-,-,-,N,,,
,4,T.01.0.055.003,Inter Filler (20),1,-,-,-,-,M6 SHCS,,,
,5,T.01.0.056.067,Back Filler (30),2,-,-,-,-,M6 EARTH BOLT,,,
,6,T.01.0.046.001,Die Case,1,-,-,-,-,M6 HHS/HHB,,,
,7,T.01.0.044.009,K.O Pin,1,-,-,-,-,M6 SHCS,,,
,8,T.01.0.045.009,K.O Head,1,-,-,-,-,M6 SHCS,,,
, 2ND STATION,,,,,,,,,,,
,1,T.01.0.001.011,Sliding Punch Case ,1,-,-,-,-,M5 TORX,,,
,2,T.01.0.066.003,Sliding Punch,1,-,-,-,-,N,,,
,3,T.01.0.006.018,Punch pin ,1,-,-,-,-,N,,,
,4,T.01.1.099.001,Spring,1,-,-,-,-,M5 TORX,,,
,5,T.01.0.004.038,Spring filler,1,-,-,-,-,M6 SOCKET BUTTON HEAD,,,
,6,T.01.0.051.009,Front DIe (30),1,-,-,-,-,N,,,
,7,T.01.0.055.023,Inter Filler (30),1,-,-,-,-,N,,,
,8,T.01.0.056.066,Back Filler (25),2,-,-,-,-,M6 EARTH BOLT,,,
,9,T.01.0.046.001,Die Case,1,-,-,-,-,M6 HHS/HHB,,,
,10,T.01.0.044.009,K.O Pin,1,-,-,-,-,M6 SHCS,,,
,11,T.01.0.045.009,K.O Head,1,-,-,-,-,M6 SHCS,,,
, 3RD STATION,,,,,,,,,,,
,1,T.01.0.023.001,Punch case ,1,-,-,-,-,N,,,
,2,T.01.0.014.002,Hex Pin (8.8),1,-,-,-,-,N,,,
,3,T.01.0.014.007,Hex Pin (4.8),1,-,-,-,-,N,,,
,4,T.02.0.004.026,Punch Filler,1,-,-,-,-,N,,,
,5,T.01.0.046.001,Die Case,1,-,-,-,-,M6 HHS/HHB,,,
,6,T.01.0.080.013,Front Die (30) ,1,-,-,-,-,M6 EARTH BOLT,,,
,7,T.01.0.055.003,Inter Filler (20),1,-,-,-,-,M6 SHCS,,,
,8,T.01.0.056.067,Back Filler (30),2,-,-,-,-,M6 EARTH BOLT,,,
,9,T.01.0.044.009,K.O Pin,1,-,-,-,-,M6 SHCS,,,
,10,T.01.0.045.009,K.O Head,1,-,-,-,-,M6 SHCS,,,
,4TH  STATION,,,,,,,,,,,
,1,T.01.0.001.003,Over Hang Punch Case ,1,-,-,-,-,M6 HHB,,,
,2,T.01.0.081.003,Over Hang Punch ,1,-,-,-,-,N,,,
,3,T.01.0.004.028,Punch Spacer,1,-,-,-,-,N,,,
,4,T.01.0.046.002,Die Case,1,-,-,-,-,M6 HHS/HHB,,,
,5,T.01.0.058.016,Double Pointing Die (40),1,-,-,-,-,N,,,
,6,T.01.0.056.001,Back Filler (30),1,-,-,-,-,M6 HHS,,,
,7,T.01.0.049.003,Nut Bushing (40),1,-,-,-,-,M6 HHB,,,
,8,T.01.0.047.001,Lock Nut,1,-,-,-,-,M6 HHS/HHB,,,
,9,T.01.0.044.003,K.O Pin,1,-,-,-,-,M6 HHS,,,
,10,T.01.0.045.003,K.O Head,1,-,-,-,-,M6 HHS,,,
, Prepared By :                                                                                    Checked By:                                                                              Approved By:,,,,,,,,,,,
,,,,,,,,,FORMAT NO:FT/DES/08,,,"
"
,,,,,,,,,,,,
,,,,,,,,,,,,°
