,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,PRECIFAST PVT LIMITED,,,,,,,,
,,,,,,TOOL SCHEDULE,,,,,,,,
,,,,,,TOOL LAY OUT NO,,TL.02.L008.004/00,,SIZE,,M8 SQUARE BOLTS,,
,,,,,,DATE,,03.12.2024,,  DATE OF RELEASE  :,,,,
,,,,,,WIRE DIA ,,Ø7.75,,MACHINE,,84S,,
,,,,,,S.NO:,TOOL DESCRIPTION,TOOL CODE,NO OF TOOLS,REVISION,,,,REMARKS
,,,,,,,,,,1,2,3,4,
,,,,,, CUT-OFF  STATION,,,,, ,,,
,,,,,,1,Feed Roll   ,T.02.0.071.002/00,2,,,,,
,,,,,,2,Pusher Pin,T.02.0.012.001/00,1,,,,,
,,,,,,3,Quill ,T.02.0.075.002/00,1,,,,,
,,,,,,4,Cutter Holder  ,T.02.0.076.001/00,1,,,,,
,,,,,,5,Cutter  ,T.02.0.073.002/00,1,,,,,
,,,,,,6,Transfer Finger (R.H.)L,T.02.0.078.001/00,1,,,,,18 mm
,,,,,,7,Transfer Finger (L.H.) L,T.02.0.077.001/00,1,,,,,18 mm
,,,,,,8,Transfer Finger (R.H.) M,T.02.0.078.002/00,1,,,,,11 mm
,,,,,,9,Transfer Finger (L.H.) M,T.02.0.077.002/00,1,,,,,11 mm
,,,,,,10,Transfer Finger (R.H.)S,T.02.0.078.003/00,1,,,,,5 mm
,,,,,,11,Transfer Finger (L.H.) S,T.02.0.077.003/00,1,,,,,5 mm
,,,,,,1ST STATION,,,,,,,,
,,,,,,1,Punch case ,T.02.0.001.006/00,1,,,,,
,,,,,,2,Punch Insert,T.02.0.005.001/00,1,,,,,
,,,,,,3,Punch pin ,T.02.0.006.013/00,1,,,,,
,,,,,,4,Punch filler ,T.02.0.004.004/00,1,,,,,
,,,,,,5,Front Die (50),T.02.0.080.013/00,1,,,,,
,,,,,,6,Inter Filler (40),T.02.0.056.063/00,1,,,,,
,,,,,,7,Inter Filler (30),T.02.0.056.006/00,1,,,,,
,,,,,,8,Die Case,T.02.0.046.001,1,,,,,
,,,,,,9,K.O Pin,T.02.0.044.004,1,,,,,
,,,,,,10,K.O Head,T.02.0.045.004,1,,,,,
,,,,,,2ND STATION,,,,,,,,
,,,,,,1,Punch case ,T.02.0.001.002/00,1,,,,,
,,,,,,2,Heading Insert (10.9),T.02.0.021.015/00,1,,,,,
,,"L = 35,40,45,50",,,,3,Heading Insert (8.8),T.02.0.021.014/00,1,,,,,
,,,,,,4,Die Case,T.02.0.046.002/01,1,,,,,
,,,,,,5,Die Case Nut,T.02.0.047.001/01,1,,,,,
,,,,,,6,Front Pointing Die (50),T.02.0.058.028,1, ,,,,33.5mm
,,,,,,7,Front Pointing Die (50),T.02.0.058.029,1,,,,,36.5mm
,,,,,,8,Inter Filler (30),T.02.0.056.008/01,1,,,,,
,,,,,,9,Nut Bushing (40),T.02.0.049.001/01,1,,,,,
,,,,,,10,K.O Pin,T.02.0.044.005,1,,,,,
,,,,,,11,K.O Head,T.02.0.045.005,1,,,,,
,,,,,,3RD STATION,,,,,,,,
,,,,,,1,Punch case ,T.02.0.001.004/00,1,,,,,
,,,,,,2,Over Hang Tool,T.02.0.081.001/00,1,,,,,
,,,,,,3,Punch Spacer,T.02.0.004.005/00,1,,,,,
,,,,,,4,Punch Spacer,T.02.0.004.006/00,1,,,,,
,,,,,,5,Punch Spacer,T.02.0.004.007/00,1,,,,,
,,,,,,6,Die Case,T.02.0.046.003/00,1,,,,,
,,,,,,7,Front Ext. Die (35),T.02.0.051.007/00,1,,,,,
,,,,,,8,Inter Filler (25),T.02.0.056.012/00,1,,,,,
,,,,,,9,Inter Filler (30),T.02.0.056.009/00,1,,,,,
,,,,,,10,Back Filler (30),T.02.0.056.009/00,1,,,,,
,,,,,,11,K.O Pin,T.02.0.044.006,1,,,,,
,,,,,,12,K.O Head,T.02.0.045.007/00,1,,,,,
,,,,,,4TH STATION,,,,,,,,
,,,,,,1,Trim Die Case,T.02.0.001.003/00,1,,,,,
,,,,,,2,Trim Die ,T.03.0.031.003/00,1,,,,,
,,,,,,3,Trim Punch Case,T.02.0.046.003/00,1,,,,,
,,,,,,4,Trim Punch (50),T.02.0.062.005/00,1,,,,,
,,,,,,5,Inter filler (40),T.02.0.056.027/00,1,,,,,
,,,,,,6,Back Filler (30),T.02.0.056.026/00,1,,,,,
,,,,,,7,K.O.Pin,T.02.0.044.007/00,1,,,,,
,,,,,,8,K.O.Pin Head,T.02.0.045.007/00,1,,,,,
,,,,,,Prepared By : ,,,Checked By :,,,,,
